Date;Libellé;Montant;Tiers;Type;Équipe;Titulaire
05/04/2025;VIR SEPA RECU AFDAS FORMATION;12500,00;AFDAS;Virement;Formation;
08/04/2025;VIREMENT COMPENSE TRESORERIE;30000,00;AFORSSIC;Virement;Finance;
11/04/2025;PRLV STRIPE PAIEMENT CLIENT;2450,50;STRIPE;Prélèvement;Sales;
14/04/2025;VIR RECU ACCENTURE SAS FACTURE;8900,00;ACCENTURE;Virement;Sales;
17/04/2025;VIR SEPA RECU CPAM REMBOURSEMENT;540,20;CPAM;Virement;RH;
22/04/2025;VIR RECU CLIENT DUPONT CONSEIL;1750,00;DUPONT;Virement;Sales;
25/04/2025;PRLV GOOGLE SERVICES ABONNEMENT;-89,00;GOOGLE;Carte;IT;Marie Durand
26/04/2025;PRLV MICROSOFT 365 BUSINESS;-142,80;MICROSOFT;Carte;IT;Marie Durand
28/04/2025;VIR SEPA EMIS SALAIRE AVRIL;-3200,00;PAIE;Virement;RH;
29/04/2025;URSSAF COTISATIONS SOCIALES;-2870,45;URSSAF;Prélèvement;RH;
30/04/2025;PRLV LOYER SVENSKASAGAX BUREAUX;-4500,00;SVENSKASAGAX;Prélèvement;Finance;
02/05/2025;VIR RECU ATLAS FORMATION OPCO;9800,00;ATLAS;Virement;Formation;
06/05/2025;PRLV STRIPE PAIEMENT CLIENT;3120,75;STRIPE;Prélèvement;Sales;
09/05/2025;VIR RECU SCALIAN SAS PRESTATION;6400,00;SCALIAN;Virement;Sales;
13/05/2025;VIR RECU REGION NOUVELLE-AQUITAINE;5200,00;REGION;Virement;Formation;
16/05/2025;PAIEMENT DIVERS FOURNISSEUR X;-320,00;INCONNU;Carte;Ops;Paul Martin
19/05/2025;PRLV AMAZON WEB SERVICES EMEA;-410,30;AWS;Carte;IT;Marie Durand
21/05/2025;NOTES DE FRAIS SNCF-VOYAGEURS;-186,40;SNCF;Carte;Sales;Paul Martin
23/05/2025;RESTAURANT LE DUPLEX DEJEUNER;-74,90;LE DUPLEX;Carte;Sales;Paul Martin
27/05/2025;VIR SEPA EMIS SALAIRE MAI;-3200,00;PAIE;Virement;RH;
28/05/2025;URSSAF COTISATIONS SOCIALES;-2905,10;URSSAF;Prélèvement;RH;
29/05/2025;PRLV LOYER SVENSKASAGAX BUREAUX;-4500,00;SVENSKASAGAX;Prélèvement;Finance;
30/05/2025;GOOGLE IRELAND ADS CAMPAGNE;-950,00;GOOGLE IRELAND;Carte;Marketing;Sophie Bernard
03/06/2025;VIR RECU AKTO OPCO FORMATION;7300,00;AKTO;Virement;Formation;
07/06/2025;PRLV STRIPE PAIEMENT CLIENT;4210,00;STRIPE;Prélèvement;Sales;
10/06/2025;VIR RECU ENGIE SAS FACTURE;5600,00;ENGIE;Virement;Sales;
12/06/2025;VIR RECU SUBVENTION BPIFRANCE;15000,00;BPIFRANCE;Virement;Finance;
15/06/2025;LINKEDIN MARKETING SOLUTIONS;-640,00;LINKEDIN;Carte;Marketing;Sophie Bernard
18/06/2025;PRLV OPENAI ABONNEMENT API;-220,00;OPENAI;Carte;IT;Marie Durand
20/06/2025;ENCAISSEMENT AUTRE VIREMENT RECU;830,00;DIVERS;Virement;Ops;
22/06/2025;NOTES DE FRAIS UBER DEPLACEMENT;-42,60;UBER;Carte;Sales;Paul Martin
25/06/2025;FRAIS BANCAIRE COMMISSION MENSUELLE;-38,00;BANQUE;Prélèvement;Finance;
27/06/2025;VIR SEPA EMIS SALAIRE JUIN;-3200,00;PAIE;Virement;RH;
28/06/2025;URSSAF COTISATIONS SOCIALES;-2940,00;URSSAF;Prélèvement;RH;
30/06/2025;PRLV LOYER SVENSKASAGAX BUREAUX;-4500,00;SVENSKASAGAX;Prélèvement;Finance;
04/07/2025;VIR RECU CONSTRUCTYS OPCO;8100,00;CONSTRUCTYS;Virement;Formation;
08/07/2025;PRLV STRIPE PAIEMENT CLIENT;3890,25;STRIPE;Prélèvement;Sales;
11/07/2025;VIR RECU RANDSTAD SAS PRESTATION;7200,00;RANDSTAD;Virement;Sales;
15/07/2025;PAIEMENT DIVERS ACHAT MATERIEL;-560,00;INCONNU;Carte;Ops;Paul Martin
18/07/2025;PRLV ADOBE CREATIVE CLOUD;-79,99;ADOBE;Carte;IT;Marie Durand
23/07/2025;NOTES DE FRAIS HOTEL IBIS SEMINAIRE;-320,00;IBIS;Carte;RH;Sophie Bernard
28/07/2025;VIR SEPA EMIS SALAIRE JUILLET;-3200,00;PAIE;Virement;RH;
29/07/2025;URSSAF COTISATIONS SOCIALES;-2975,50;URSSAF;Prélèvement;RH;
31/07/2025;PRLV LOYER SVENSKASAGAX BUREAUX;-4500,00;SVENSKASAGAX;Prélèvement;Finance;
